"","MR1","MR2","MR3","MR4","MR5","MR6","MR7","MR8","MR9","MR10","GT","FT","Fit"
"MR1",0.738213591320603,0.026370379832731,-0.00417843437352623,-0.0356504986943475,-0.0267060240492505,-0.053326455261681,-0.01365176585889,0.0932405141826647,-0.0767641849632608,0.0269613572403805,-0.00847568307794397,0.0160110466776438,0.00444784635115957
"MR2",0.338231219706142,0.793214109185282,0,0,0,3.94480774889382e-21,0,0,0,0,0,-2.20111513810582e-21,0.0707509905848173
"MR3",-0.285219316219405,0.120625921528695,0.785118438412546,0.0123514359421599,-0.0381710391493153,0.0178510592561742,-0.00125121530472065,0.000211440035519664,-0.164553373845607,0.00586175184277826,-0.121426552330245,-0.0315680367639197,-0.0288299762495595
"MR4",-0.428349053173382,0.0676628515150871,-0.0649041163911213,0.833111151068676,0,0.239106353063147,0,0.287390789263248,0,0.100252322110403,0.0301627386924746,0.0285065631348453,0.0654621529649705
"MR5",0.012205788879631,-0.125109036870325,0.0779156474227129,0.0402742463954867,0.758989206123432,-0.400428246661127,0,0,0,-0.331372504367867,0.208354613378246,-0.0426000737289633,0.0364471574007269
"MR6",0.00977809106808798,0.0470849830438336,-0.00909500349145074,0.0565326996036276,-0.0683170109769491,0.679948857006405,0.640230843802345,0.0685478683065428,5.30301441818581e-21,0.211064828626301,-0.0708117527497691,0.0823491799199825,0.240919906888991
"MR7",0.0831544345627731,-0.0306107470606774,0.0297052700501663,-0.0064032534501485,0.117465770040454,0.227773547963777,0.373821565440998,0,0,0.102736259937752,0.012691604524581,0.0370013142074507,0.182354004666337
"MR8",0.340203968222509,-0.0213690116393754,0.0482821930793708,0.1196076920909,0.0321858731129218,-0.0151870127756004,-0.0269255146533072,0.64329185219495,0,0.346679559598246,0.0544565453888244,0.00810546906368766,-0.0362359962100663
"MR9",-0.170617716493838,-0.0126492841655581,-0.0364128206718473,-0.0990269235107061,-0.125440551259726,-0.0887784834486481,0.0966134247932559,0.250037098610274,0.613220324377156,0,0,0.202139824427218,0.125697494973476
"MR10",-0.0353382435486813,0.0979047398138708,-0.0651432299238339,-0.0560978552651561,0.0544830480542845,0.136442642803951,-0.0648268236385755,0.0427265626056932,0.0926390980125444,0.761155774429859,0.0580349923285885,0.0221086143771179,-0.128603993536468
"GT",0.0280029622702329,-0.0374548065843237,-0.0459852366656443,0.0279257877117362,0.123336181152815,-0.0012467778019264,0.00821476696587397,-0.0163908456556191,-0.0205582995158518,0.0927058193692264,0.223152691307841,-0.0070767414166802,-0.0128086548492911
"FT",-0.0397939744615272,0.0281436435503955,-0.0150254485018756,-0.0138558672998737,0.0300916799541916,0.0342593750110017,0.00801973219964402,-0.00928036387266147,0.0736704068241671,-0.0127349584691555,0.00901183522079991,0.864389302554104,0.17146114795077
"Fit",0.0684008045227071,-0.0116409161204278,0.0436949801066653,0.0210349711162438,0.0148685739231396,0.124406100076671,0.0623293181861404,0.00873648576623063,0.0687983849848391,-0.113585791375934,0.0313612387677179,0.0388603957064625,0.568006449054195
